entry_id,temperature,humidity,label
404,27,89,0
405,27.3,90.3,0
406,27.1,89.4,0
407,27,89,0
408,27,89,0
409,26.5,90,0
410,27,89.9,0
411,26.4,89.1,0
412,27,89.1,0
413,27,90.4,0
414,27,90,0
415,27.1,89.3,0
416,27.1,90.2,0
417,27.1,89.1,0
418,27.1,89.7,0
419,27.1,88.9,0
420,27.1,90.2,0
421,27.1,90.2,0
422,27.1,90.2,0
423,27.2,89.8,0
424,27.2,89.7,0
425,27.1,89,0
426,27.1,88.9,0
427,27,89.9,0
428,27.1,89.9,0
429,27.1,89.4,0
430,27.1,89.5,0
431,27,89.3,0
432,26.9,89,0
433,27,90.5,0
434,27.1,90.2,0
435,27.1,89.7,0
436,27,88.8,0
437,27,90,0
438,27,90.4,0
439,27.2,90,0
440,27.1,90,0
441,27.1,89.2,0
442,27,88.9,0
443,27,90.3,0
444,27.1,90,0
445,27,90.2,0
446,27.1,90.2,0
447,27.1,90.4,0
448,27.1,89.3,0
449,27.1,88.9,0
450,27,90.1,0
451,27.1,89.5,0
452,26.8,90.1,0
453,27.1,89.3,0
454,27.1,90.2,0
455,27,89.4,0
456,27.1,89.3,0
457,27,89.3,0
458,26.9,89.2,0
459,27.3,89.1,0
460,26.8,88.7,0
461,26.8,90,0
462,26.7,90.7,0
463,26.8,90.2,0
464,26.8,90.1,0
465,26.9,90.9,0
466,26.9,90,0
467,26.9,90.1,0
468,26.8,90.3,0
469,26.9,90.1,0
470,26.6,90,0
471,26.8,90.1,0
472,26.8,90.1,0
473,26.7,90.1,0
474,26.8,90.1,0
475,26.8,90.6,0
476,26.9,90.4,0
477,26.8,90.1,0
478,26.8,90.7,0
479,26.8,90.5,0
480,26.9,90.5,0
481,26.8,91.6,0
482,26.9,90.7,0
483,26.9,90.7,0
484,26.9,91,0
485,26.9,91.3,0
486,27,90.8,0
487,26.9,90.5,0
488,26.9,91.3,0
489,26.9,90.9,0
490,26.9,90.7,0
491,26.9,90.8,0
492,26.9,91.5,0
493,26.9,91.6,0
494,27,91,0
495,26.9,91.8,0
496,26.9,91.2,0
497,26.9,91.2,0
498,26.8,90.6,0
499,26.3,91.4,0
500,26.9,92,0
501,26.9,90.6,0
502,26.8,90.5,0
503,26.8,90.6,0
504,26.8,90.7,0
505,26.8,91,0
506,26.8,90.9,0
507,26.8,91,0
508,26.8,91.1,0
509,26.8,91.7,0
510,26.7,90.6,0
511,26.7,91.1,0
512,26.7,91.4,0
513,26.8,91.6,0
514,26.8,91,0
515,26.7,90.9,0
516,26.7,91.3,0
517,26.8,92,0
518,26.7,91.6,0
519,26.9,92,0
520,26.9,91.5,0
521,27,91.6,0
522,26.9,90.6,0
523,26.9,91,0
524,26.9,90.8,0
525,26.9,91.2,0
526,27,91.5,0
527,27,90.9,0
